chapter,title,verses,type,themes
13,Psalm 13,11,thankfulness,"Creación, Muerte, Dolor, Sabiduría"
14,Psalm 14,63,lament,"Persecución, Temor, Música, Disciplina"
15,Psalm 15,29,lament,"Muerte, Creación"
16,Psalm 16,60,trust,"Gratitud, Pacto, Dios: Ira, Fe"
17,Psalm 17,43,hymn,"Dios: Fidelidad, Música, Esperanza, Violencia"
18,Psalm 18,21,praise,"Bendición, Fe, Pacto"
19,Psalm 19,10,thankfulness,"Pacto, Sufrimiento, Humildad"
20,Psalm 20,31,hymn,"Disciplina, Creación"
21,Psalm 21,36,praise,"Dolor, Persecución"
22,Psalm 22,52,kingship,"Alegría, Gozo"
23,Psalm 23,64,praise,"Oración, Adoración, Persecución, Humildad"
24,Psalm 24,40,hymn,"Dios: Soberanía, Santidad, Oración: Petición"
25,Psalm 25,56,hymn,"Adoración, Santidad, Gozo"
26,Psalm 26,17,thankfulness,"Reverencia, Justicia, Sabiduría, Disciplina"
27,Psalm 27,31,wisdom,"Perdón, Dios: Amor, Reverencia, Gratitud"
28,Psalm 28,53,praise,"Profecía: Jesús, Bendición, Alegría, Muerte"
29,Psalm 29,61,wisdom,"Disciplina, Temor, Humildad, Pacto"
30,Psalm 30,22,thankfulness,"Dios: Misericordia, Pecado, Perdón"
31,Psalm 31,34,thankfulness,"Oración, Salvación"
32,Psalm 32,62,thankfulness,"Oración, Pacto, Oración: Petición"
33,Psalm 33,67,thankfulness,"Dios: Fidelidad, Obediencia, Humildad, Gozo"
34,Psalm 34,65,lament,"Justicia, Reverencia, Creación, Honor"
35,Psalm 35,15,thankfulness,"Violencia, Adoración"
36,Psalm 36,22,thankfulness,"Dios: Amor, Gratitud, Adoración, Fe"
37,Psalm 37,62,thankfulness,"Dios: Providencia, Gloria, Gratitud, Confesión"
38,Psalm 38,8,kingship,"Salvación, Consuelo, Música"
39,Psalm 39,67,wisdom,"Dolor, Salvación"
40,Psalm 40,15,hymn,"Dios: Soberanía, Profecía: Jesús, Redención, Dios: Providencia"
41,Psalm 41,56,thankfulness,"Obediencia, Gratitud, Gloria, Gozo"
42,Psalm 42,11,lament,"Santidad, Profecía: Jesús"
43,Psalm 43,55,thankfulness,"Persecución, Dolor"
44,Psalm 44,11,hymn,"Paz, Dios: Providencia, Dios: Poder"
45,Psalm 45,22,kingship,"Consuelo, Profecía: Jesús, Humildad"
46,Psalm 46,31,trust,"Fe, Santidad"
47,Psalm 47,28,hymn,"Consuelo, Gloria"
48,Psalm 48,69,hymn,"Oración, Consuelo, Santidad, Justicia"
49,Psalm 49,41,thankfulness,"Gratitud, Dios: Fidelidad, Honor, Muerte"
50,Psalm 50,36,lament,"Dios: Misericordia, Esperanza, Confesión"
51,Psalm 51,56,hymn,"Profecía: Jesús, Honor, Muerte"
52,Psalm 52,12,kingship,"Dios: Ira, Fe, Dolor, Esperanza"
53,Psalm 53,18,lament,"Gozo, Reverencia"
54,Psalm 54,31,praise,"Persecución, Oración: Petición, Esperanza, Perdón"
55,Psalm 55,16,thankfulness,"Justicia, Oración, Dolor, Dios: Ira"
56,Psalm 56,50,kingship,"Reverencia, Sabiduría"
57,Psalm 57,48,trust,"Consuelo, Sufrimiento"
58,Psalm 58,7,hymn,"Gozo, Música, Dios: Amor"
59,Psalm 59,60,hymn,"Salvación, Pecado, Dios: Misericordia, Oración: Petición"
60,Psalm 60,46,praise,"Esperanza, Música"
61,Psalm 61,58,trust,"Adoración, Sabiduría, Perdón, Gratitud"
62,Psalm 62,61,lament,"Justicia, Temor, Dios: Providencia, Obediencia"
63,Psalm 63,7,praise,"Persecución, Salvación"
64,Psalm 64,63,trust,"Violencia, Redención"
65,Psalm 65,49,wisdom,"Dios: Soberanía, Oración"
66,Psalm 66,43,kingship,"Sufrimiento, Dios: Fidelidad, Eternidad"
67,Psalm 67,36,kingship,"Consuelo, Pecado, Confesión"
68,Psalm 68,53,praise,"Música, Redención, Dios: Soberanía, Temor"
69,Psalm 69,45,lament,"Obediencia, Dios: Ira, Justicia"
70,Psalm 70,22,hymn,"Salvación, Dios: Ira, Sufrimiento"
71,Psalm 71,70,lament,"Dios: Amor, Honor, Perdón, Profecía: Jesús"
72,Psalm 72,62,lament,"Sufrimiento, Dios: Poder, Oración: Petición, Gratitud"
73,Psalm 73,54,kingship,"Fe, Dios: Amor, Dios: Ira, Temor"
74,Psalm 74,69,wisdom,"Dios: Misericordia, Humildad, Bendición, Dios: Poder"
75,Psalm 75,9,trust,"Humildad, Honor, Pacto, Dios: Misericordia"
76,Psalm 76,19,lament,"Justicia, Muerte"
77,Psalm 77,30,lament,"Profecía: Jesús, Bendición"
78,Psalm 78,6,praise,"Honor, Bendición, Violencia, Muerte"
79,Psalm 79,37,lament,"Gozo, Confesión, Fe"
80,Psalm 80,14,trust,"Alegría, Oración, Salvación, Humildad"
81,Psalm 81,49,hymn,"Dios: Fidelidad, Santidad, Dios: Soberanía, Salvación"
82,Psalm 82,29,thankfulness,"Honor, Pecado, Santidad"
83,Psalm 83,57,kingship,"Profecía: Jesús, Justicia, Creación, Obediencia"
84,Psalm 84,27,kingship,"Dios: Providencia, Redención, Pecado"
85,Psalm 85,36,praise,"Dios: Misericordia, Dios: Providencia, Humildad"
86,Psalm 86,72,trust,"Santidad, Honor, Salvación, Gloria"
87,Psalm 87,22,trust,"Consuelo, Dios: Providencia, Eternidad, Temor"
88,Psalm 88,39,trust,"Obediencia, Dolor"
89,Psalm 89,60,hymn,"Obediencia, Sabiduría, Oración: Petición, Pacto"
90,Psalm 90,58,wisdom,"Confesión, Eternidad"
91,Psalm 91,23,lament,"Dios: Providencia, Paz"
92,Psalm 92,67,kingship,"Redención, Dios: Ira"
93,Psalm 93,18,trust,"Oración, Persecución"
94,Psalm 94,10,wisdom,"Perdón, Sufrimiento, Persecución, Humildad"
95,Psalm 95,48,trust,"Perdón, Violencia, Esperanza"
96,Psalm 96,35,lament,"Eternidad, Justicia, Honor, Creación"
97,Psalm 97,29,lament,"Dios: Soberanía, Justicia, Paz"
98,Psalm 98,9,thankfulness,"Dios: Fidelidad, Gratitud"
99,Psalm 99,58,thankfulness,"Alegría, Fe, Sufrimiento, Redención"
100,Psalm 100,27,wisdom,"Eternidad, Reverencia, Dios: Ira, Humildad"
101,Psalm 101,27,kingship,"Oración, Gratitud, Adoración"
102,Psalm 102,54,thankfulness,"Dios: Amor, Alegría, Redención"
103,Psalm 103,61,trust,"Pacto, Sabiduría, Profecía: Jesús, Persecución"
104,Psalm 104,57,wisdom,"Oración, Honor, Dios: Ira, Santidad"
105,Psalm 105,51,trust,"Perdón, Persecución, Dios: Amor"
106,Psalm 106,18,lament,"Gozo, Adoración, Muerte"
107,Psalm 107,6,praise,"Oración, Dios: Providencia, Bendición, Temor"
108,Psalm 108,28,trust,"Humildad, Gozo, Perdón, Adoración"
109,Psalm 109,22,praise,"Santidad, Pacto"
110,Psalm 110,32,lament,"Dios: Soberanía, Gratitud, Confesión"
111,Psalm 111,43,praise,"Honor, Reverencia, Dios: Providencia"
112,Psalm 112,55,hymn,"Adoración, Gratitud, Muerte"
113,Psalm 113,9,thankfulness,"Muerte, Violencia"
114,Psalm 114,61,kingship,"Salvación, Bendición, Paz"
115,Psalm 115,28,praise,"Eternidad, Gloria, Perdón"
116,Psalm 116,62,lament,"Muerte, Paz, Dios: Misericordia, Sabiduría"
117,Psalm 117,44,trust,"Confesión, Dios: Providencia, Gloria"
118,Psalm 118,52,hymn,"Persecución, Creación, Adoración, Humildad"
119,Psalm 119,19,trust,"Consuelo, Gozo"
120,Psalm 120,62,hymn,"Música, Salvación, Sabiduría"
121,Psalm 121,37,praise,"Dolor, Dios: Ira, Dios: Misericordia"
122,Psalm 122,64,hymn,"Confesión, Dios: Fidelidad"
123,Psalm 123,52,lament,"Creación, Eternidad, Muerte"
124,Psalm 124,41,thankfulness,"Reverencia, Persecución"
125,Psalm 125,50,lament,"Dios: Poder, Dios: Providencia, Gozo"
126,Psalm 126,39,lament,"Dios: Poder, Disciplina"
127,Psalm 127,34,kingship,"Pecado, Reverencia, Dios: Poder, Creación"
128,Psalm 128,11,lament,"Oración: Petición, Salvación, Humildad, Gloria"
129,Psalm 129,15,trust,"Muerte, Pecado"
130,Psalm 130,23,thankfulness,"Dolor, Salvación"
131,Psalm 131,45,lament,"Dios: Ira, Temor, Gratitud, Justicia"
132,Psalm 132,39,thankfulness,"Perdón, Creación, Honor, Pacto"
133,Psalm 133,52,hymn,"Pacto, Gozo, Justicia"
134,Psalm 134,25,trust,"Salvación, Confesión, Dios: Fidelidad, Gozo"
135,Psalm 135,8,thankfulness,"Dios: Poder, Oración, Oración: Petición, Consuelo"
136,Psalm 136,13,trust,"Dios: Ira, Pecado, Consuelo, Violencia"
137,Psalm 137,41,praise,"Música, Gloria, Obediencia, Dios: Ira"
138,Psalm 138,45,lament,"Oración, Redención, Consuelo"
139,Psalm 139,49,trust,"Dios: Poder, Redención, Paz, Muerte"
140,Psalm 140,67,hymn,"Pecado, Sabiduría, Dios: Fidelidad, Confesión"
141,Psalm 141,37,lament,"Dios: Poder, Salvación, Dios: Amor, Pecado"
142,Psalm 142,56,lament,"Sabiduría, Justicia, Gratitud, Confesión"
143,Psalm 143,37,lament,"Pacto, Adoración, Alegría, Sabiduría"
144,Psalm 144,13,hymn,"Dios: Amor, Confesión"
145,Psalm 145,66,thankfulness,"Gozo, Honor, Obediencia"
146,Psalm 146,13,hymn,"Paz, Esperanza"
147,Psalm 147,42,thankfulness,"Alegría, Creación, Pecado"
148,Psalm 148,12,trust,"Esperanza, Disciplina"
149,Psalm 149,35,lament,"Obediencia, Bendición, Perdón"
150,Psalm 150,26,wisdom,"Dios: Soberanía, Salvación, Alegría"
